,Date,GDP_Per_Capita,unemployment_rate,real_gdp,Personal Consumption expenditures(PCE),Goods Price Index (PCE),Durable Goods Price Index (PCE),Non Durable Goods Price Index (PCE),Services Price Index (PCE),PCE Exclusing food and energy,Food Price Index (PCE),Energy/Services Price Index (PCE),Market-based Price Index (PCE),Market_based Price index excluding food and energy (PCE),Exports of Durable Goods (QI),Exports of Nondurable Goods (QI),Exports of Argicultural Goods(QI),Exports of Nonagricultural Goods (QI),Import of Durable Goods (QI),Imports of Nondurable Goods (QI),Imports of Nonpetroleum Goods (QI),Dow Jones Industrial Average,S&P 500,Nasdaq Composite
0,2017,"$60,110",4.616598,18441.6,112.212,102.343,87.771,110.085,117.454,112.525,109.099,108.685,110.434,110.497,144.724,146.971,126.616,147.491,189.242,108.177,168.761,19881.759765625,2257.830078125,5429.080078125
1,2016,"$58,021",4.656598,18134.2,109.976,101.562,89.742,107.561,114.435,110.441,110.73,96.797,108.435,108.706,137.455,135.316,130.548,137.183,174.806,107.597,158.572,17148.939453125,2012.6600341796875,4903.08984375
2,2015,"$56,863",4.731372,17829.02,108.762,102.524,90.9,108.401,112.052,108.689,110.911,104.168,107.557,107.267,136.536,130.112,117.623,135.917,170.638,104.887,155.218,17832.990234375,2058.199951171875,4726.81005859375
3,2014,"$55,050",4.838887231,17507.17121,108.537,106.274,93.409,112.872,109.722,107.227,108.109,132.193,107.799,106.174,143.385,130.508,123.779,140.046,166.344,101.892,150.656,16441.349609375,1831.97998046875,4143.06982421875
4,2013,"$53,107",5.150994354,17187.87004,106.956,106.578,95.627,112.078,107.162,105.676,107.51,128.401,106.601,105.07,137.92,129.486,125.45,135.75,152.09,99.402,139.369,13412.5498046875,1462.4200439453125,3112.260009765625
5,2012,"$51,603",5.656054951,16883.661819999998,105.325,106.371,97.21,110.9,104.81,103.94,106.27,128.175,105.194,103.578,132.097,116.53,104.014,128.566,143.568,101.093,133.037,12397.3798828125,1277.06005859375,2648.719970703125
6,2011,"$49,883",5.847203348,16598.22997,102.685,103.237,97.578,105.994,102.412,101.808,101.5,119.793,102.511,101.472,129.634,116.432,108.937,126.248,137.804,106.559,129.961,11670.75,1271.8699951171875,2691.52001953125
7,2010,"$48,467",5.770941881,16341.58651,101.234,101.958,99.717,103.021,100.884,100.807,99.751,110.901,101.182,100.68,121.699,114.016,116.809,118.983,129.813,106.298,124.199,10583.9599609375,1132.989990234375,2308.419921875
8,2009,"$47,100",5.503899202,16122.163919999999,99.068,97.985,100.368,96.876,99.582,99.259,101.277,92.236,98.922,99.119,107.681,106.194,106.183,107.252,108.994,99.563,107.062,9034.6904296875,931.7999877929688,1632.2099609375
9,2008,"$48,383",5.104601542,15902.95548,98.894,101.545,102.854,100.89,97.604,98.058,95.635,118.473,98.282,97.213,112.235,99.486,101.032,108.082,114.504,109.203,111.67,13043.9599609375,1447.1600341796875,2609.6298828125
10,2007,"$47,976",4.913194325,15621.981109999999,95.689,97.756,104.648,94.292,94.686,95.998,90.813,98.337,94.94,95.166,119.054,97.976,102.496,111.872,130.421,112.212,124.402,12474.51953125,1416.5999755859375,2423.159912109375
11,2006,"$46,299",4.95504008,15318.99905,93.811,98.017,106.911,93.558,91.724,93.793,89.327,101.262,93.156,93.023,108.913,92.186,89.967,103.716,129.871,111.731,124.132,10847.41015625,1268.800048828125,2243.739990234375
12,2005,"$44,115",4.996716776,14994.33661,90.854,95.594,108.336,89.239,88.502,91.813,87.399,81.065,90.236,91.233,100.209,83.137,84.91,94.623,121.626,113.308,117.301,10729.4296875,1202.0799560546875,2152.14990234375
13,2004,"$41,713",5.028878689,14631.061819999999,88.606,94.119,109.156,86.683,85.869,89.857,85.486,73.942,88.105,89.458,88.857,84.705,85.857,87.099,113.267,109.38,110.046,10409.849609375,1108.47998046875,2006.6800537109373
14,2003,"$39,496",5.067058563,14259.33411,86.853,94.167,112.916,85.004,83.243,88.432,82.768,68.566,86.461,88.211,83.095,80.393,83.959,81.54,100.001,101.232,98.831,8607.51953125,909.030029296875,1384.8499755859375
15,2002,"$38,023",5.108561516,13912.80596,84.893,93.247,116.447,82.121,80.79,86.918,82.255,57.989,84.584,86.863,76.656,77.506,79.21,76.234,93.185,98.926,93.297,10073.400390625,1154.6700439453125,1979.25
16,2001,"$37,133",5.151313,13558.22765,84.311,95.193,119.545,83.572,79.028,85.683,80.088,69.12,84.048,85.583,75.739,75.656,86.508,74.382,84.616,91.011,84.599,10646.150390625,1283.27001953125,2291.860107421875
17,2000,"$36,335",5.193731,13134.75698,82.186,93.803,121.119,80.985,76.569,84.103,77.896,59.413,81.995,84.174,90.673,77.615,81.878,86.376,95.698,92.336,92.855,11357.509765625,1455.219970703125,4131.14990234375
18,1999,"$34,514",5.235184669,12624.01885,80.448,92.369,123.911,77.963,74.696,82.854,76.757,50.568,80.338,83.094,83.204,74.994,77.99,80.294,85.654,84.171,83.556,9184.26953125,1228.0999755859375,2208.050048828125
19,1998,"$32,854",5.275233,12107.47327,79.688,93.123,127.65,77.609,73.264,81.743,75.579,54.908,79.627,81.989,78.197,72.243,79.287,75.58,74.287,76.566,72.918,7965.0,975.0399780273438,1581.530029296875
20,1997,"$31,459",5.31369,11627.70945,78.881,94.392,131.023,78.11,71.556,80.556,74.577,59.076,79.009,80.975,75.69,72.458,79.199,73.777,65.49,71.589,65.284,6442.490234375,737.010009765625,1280.699951171875
21,1996,"$29,968",5.350973606,11206.66775,77.143,93.432,133.497,76.102,69.498,79.102,72.171,54.912,77.409,79.731,66.13,69.43,76.854,65.822,55.938,64.923,56.403,5177.4501953125,620.72998046875,1058.6500244140625
22,1995,"$28,691",5.38905,10868.04148,75.667,92.769,134.136,75.079,67.694,77.567,70.534,54.452,76.042,78.32,58.41,64.816,73.506,58.786,49.437,58.524,50.055,3838.47998046875,459.1099853515625,743.5800170898438
23,1994,"$27,695",5.431291,10573.43167,73.958,91.326,131.442,74.094,65.887,75.793,69.476,52.751,74.346,76.554,51.442,63.696,76.415,52.911,46.628,57.34,47.665,3756.60009765625,465.4400024414063,770.760009765625
24,1993,"$26,387",5.480341434,10292.579609999999,72.524,90.952,129.358,74.235,64.03,74.129,68.083,53.986,73.072,75.052,45.512,58.168,65.253,47.502,39.292,53.67,41.106,3309.199951171875,435.3800048828125,671.7999877929688
25,1992,"$25,419",5.537511,10025.898790000001,70.613,89.662,128.529,72.899,61.89,72.099,67.207,52.203,71.09,72.916,42.767,58.224,69.715,45.049,34.571,50.78,36.962,3172.39990234375,417.260009765625,586.4500122070312
26,1991,"$24,342",5.602534,9777.772221,68.996,89.202,127.178,72.718,59.811,69.869,66.716,55.921,69.231,70.301,39.927,55.827,63.774,42.557,31.44,47.56,34.013,,326.45001220703125,372.2000122070313
27,1990,"$23,889",5.674851418,9535.845016,66.077,85.538,125.831,68.666,57.229,67.132,64.151,50.81,65.898,67.076,35.948,52.425,57.516,38.914,29.996,42.363,32.254,,359.69000244140625,459.2999877929688
28,1989,"$22,857",5.752428532,9278.645886,63.482,82.309,124.793,65.018,54.927,64.881,60.542,46.189,62.96,64.443,33.328,50.066,60.082,36.02,29.487,44.998,31.882,,275.3099975585937,378.6000061035156
29,1988,"$21,417",5.830452442,9011.799140000001,60.805,79.56,121.53,62.589,52.291,62.014,58.059,45.52,60.301,61.572,30.126,46.667,58.004,32.684,29.143,43.302,31.23,,255.94000244140625,338.5
30,1987,"$20,039",5.901855,8741.770317,58.628,77.124,119.367,60.245,50.237,59.722,56.765,43.564,58.048,59.165,25.276,42.847,52.994,28.145,27.915,41.389,30.077,,246.4499969482422,353.20001220703125
31,1986,"$19,071",5.961125374,8466.970431,57.748,77.312,116.464,61.239,48.871,58.089,55.041,51.647,,,21.129,41.375,52.86,24.43,26.369,40.419,28.715,,209.58999633789065,325.0
32,1985,"$18,237",6.008578,8185.895534,55.732,75.717,115.49,59.605,46.668,55.854,54.12,50.459,,,19.16,38.124,49.918,22.16,24.421,36.904,26.63,,165.3699951171875,245.8999938964844
33,1984,"$17,121",6.048421383,7899.908234999999,53.734,74.79,114.243,58.835,44.199,53.525,53.279,50.266,,,18.458,39.78,59.601,21.645,22.584,34.958,24.785,,164.0399932861328,277.6300048828125
34,1983,"$15,544",6.085254,7625.640627,51.852,73.067,112.191,57.346,42.262,51.509,51.452,49.736,,,16.847,37.136,55.989,20.731,18.478,31.648,20.61,,138.33999633789062,230.58999633789065
35,1982,"$14,434",6.122254,7385.416065,49.52,71.976,109.93,56.612,39.417,48.624,51.026,49.922,,,15.144,37.442,55.245,20.188,12.666,28.564,15.129,,122.73999786376952,195.52999877929688
36,1981,"$13,976",6.160031,7161.414951999999,46.329,68.771,103.833,54.332,36.256,45.277,49.644,45.938,,,18.075,41.306,65.103,24.104,13.885,29.708,15.99,,136.33999633789062,203.5500030517578
37,1980,"$12,575",6.195495605,6968.010712,41.944,62.8,95.965,49.39,32.589,41.257,44.842,39.459,,,19.131,39.002,60.899,25.269,12.21,29.463,13.981,,105.76000213623048,148.1699981689453
38,1979,"$11,674",6.22329,6800.099176999999,37.971,56.259,89.341,43.504,29.77,38.128,41.698,27.949,,,18.557,37.226,62.869,24.315,12.452,35.705,14.508,,96.7300033569336,117.83999633789062
39,1978,"$10,565",6.23823452,6576.005859000001,35.251,52.308,84.094,40.213,27.602,35.695,37.17,25.599,,,16.624,33.024,52.097,22.418,12.09,35.842,14.184,,93.81999969482422,104.0
40,1977,"$9,453",6.237757,6350.397937,33.058,49.608,80.816,37.909,25.626,33.511,34.498,24.22,,,13.52,28.473,45.315,18.34,10.812,33.132,12.577,,107.0,97.69000244140624
41,1976,"$8,592",6.223099,6144.558809,31.406,47.823,76.744,36.789,24.027,31.633,34.205,22.632,,,14.048,29.109,45.219,19.375,9.545,32.849,11.655,,90.9000015258789,78.05999755859375
42,1975,"$7,801",6.197032452,5957.519332,29.523,45.497,72.017,35.19,22.341,29.67,33.063,20.556,,,13.736,27.441,42.718,18.848,7.674,27.504,9.647,,70.2300033569336,60.70000076293945
43,1974,"$7,226",6.16081953,5774.493082,26.574,40.372,64.792,31.053,20.38,26.934,29.192,17.556,,,14.175,24.824,36.651,19.342,8.779,27.346,10.385,,97.68000030517578,92.52999877929688
44,1973,"$6,726",6.113830566,5579.493499,24.508,36.733,63.229,27.387,19.042,25.511,24.78,14.26,,,12.82,27.746,43.316,18.397,8.827,29.016,10.811,,119.0999984741211,134.6300048828125
45,1972,"$6,094",6.056706,5392.408232,23.738,35.699,62.638,26.391,18.383,24.842,23.428,13.678,,,10.048,23.222,37.488,14.751,8.864,27.788,11.066,,101.66999816894533,113.6500015258789
46,1971,"$5,609",5.994177,5221.9339119999995,22.857,34.756,62.008,25.513,17.516,23.935,22.302,13.444,,,8.208,16.896,26.774,11.749,7.304,22.506,9.0,,91.1500015258789,100.0
47,1970,"$5,234",5.932861,5062.162322,21.885,33.66,59.532,24.799,16.586,22.79,21.983,12.831,,,8.653,19.68,30.761,12.873,6.8,23.154,8.917,,93.0,
48,1969,"$5,032",5.876888,4899.211459,20.864,32.273,58.191,23.586,15.722,21.762,20.595,12.521,,,8.299,18.188,28.474,12.514,6.623,22.14,8.628,,103.93000030517578,
49,1968,"$4,696",5.826905,4708.242757999999,20.011,31.162,56.624,22.701,14.974,20.792,19.9,12.345,,,7.5,16.551,25.218,11.486,6.31,20.921,8.244,,96.11000061035156,
50,1967,"$4,336",5.780984,4503.961356,19.417,30.344,55.019,22.124,14.476,20.09,19.586,12.144,,,6.635,15.766,26.41,10.074,5.147,19.142,7.085,,80.37999725341797,
